"job_id";"first_name";"last_name";"designation";"address1";"address2";"phoneNumber";"gender";"relationship_status";"dob";"email";"zip_id";"city";"state"
3;"jyot";"khant";"developer";"604 setu heights,abrama ,valsad";"";"1234567890";"male";"married";"2024-01-01";"abc@gmail.com";"396002";"";""
4;"jyot";"khant";"sdl-1";"setu";"height";"1234567890";"male";"married";"2002-09-05";"a@gmail.com";"1234547";"surat";"UP"
5;"jyot";"khant";"dev";"mjktu6umkyumkyum";"";"1234567890";"on";"single";"";"j@gmail.com";"396002";"";""
6;"jyot";"khant";"dev";"wre5hnj56t7jku8";"";"1234567890";"on";"single";"2024-02-14";"j@gmail.com";"396002";"";""
7;"jyot";"khant";"dev";"vsferthbtj";"";"1234567890";"on";"undefined";"2024-02-12";"j@gmail.com";"396002";"";""
8;"jyot";"khant";"dev";"dgrnytjmytumk";"";"1234567890";"on";"single";"2024-02-11";"j@gmail.com";"396001";"";""
9;"jyot";"khant";"dev";"byug78t7yug78g";"";"1234567890";"on";"single";"2018-01-02";"j@gmail.com";"396002";"";""
10;"jyot";"khant";"developer";"f423gt46h56j567ik";"";"1234567890";"on";"married";"2024-02-05";"j@gmail.com";"396002";"";""
11;"jyot";"khant";"developer";"f423gt46h56j567ik";"";"1234567890";"on";"married";"2024-02-05";"j@gmail.com";"396002";"";""
12;"jyot";"khant";"developer";"f423gt46h56j567ik";"";"1234567890";"on";"married";"2024-02-05";"j@gmail.com";"396002";"";""
102;"jfygnj";"rtnjhfrytj";"rytnjfry";"nhjrnjytj7uk";"";"12334";"gerghrtbh";"brbhrtyhry";"2024-02-05";"jk@gmail.com";"396001";"";""
103;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
104;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
105;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
106;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
107;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
108;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
109;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
110;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
111;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
112;"jyot";"khant";"dev";"qwdfwervgeth";"";"1234567890";"on";"single";"2024-02-04";"j@gmail.com";"396002";"";""
